filename,source,pmcid,url,download_url,sha256,bytes,estimated_pages,estimated_image_xobjects,license,citation
PMC10758301-BJR-13-2046-3758.131.BJR-2023-0016.R2.PMC10758301.pdf,pmc_oa,PMC10758301,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/00/c1/BJR-13-2046-3758.131.BJR-2023-0016.R2.PMC10758301.pdf,https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_pdf/00/c1/BJR-13-2046-3758.131.BJR-2023-0016.R2.PMC10758301.pdf,37ae29d8c67427c0506fb9b72fcb078c4ed1337d23b169f2070cb880b0eb5557,7316669,15,10,CC BY-NC-ND,Bone Joint Res. 2024 Jan 2; 13(1):4-18
PMC10758307-trd-2023-0103.PMC10758307.pdf,pmc_oa,PMC10758307,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/10/95/trd-2023-0103.PMC10758307.pdf,https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_pdf/10/95/trd-2023-0103.PMC10758307.pdf,0087f8bd5a31f6ee79d0b3398ea9ab15233ea2e4b297dd2de33fd0f0f7dcff01,1068139,10,1,CC BY-NC,Tuberc Respir Dis (Seoul). 2024 Jan 29; 87(1):12-21
PMC10758703-main.PMC10758703.pdf,pmc_oa,PMC10758703,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/da/36/main.PMC10758703.pdf,https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_pdf/da/36/main.PMC10758703.pdf,19684836e40634f1fd375dadba3bd988077981d3defb1ccf5860cbf3a04e9b32,4165384,19,7,CC BY-NC-ND,eBioMedicine. 2023 Dec 12; 99:104894
PMC10758181-jhc-10-2383.PMC10758181.pdf,pmc_oa,PMC10758181,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/b2/e7/jhc-10-2383.PMC10758181.pdf,https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_pdf/b2/e7/jhc-10-2383.PMC10758181.pdf,358e20d7d16dd92991fb54ff949f00b2ecf2ea35d96801a12badde340d2fc887,14289110,13,10,CC BY-NC,J Hepatocell Carcinoma. 2023 Dec 28; 10:2383-2395
PMC10759034-RA-014-D3RA06091H.PMC10759034.pdf,pmc_oa,PMC10759034,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/10/40/RA-014-D3RA06091H.PMC10759034.pdf,https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_pdf/10/40/RA-014-D3RA06091H.PMC10759034.pdf,ef15a7ac60a6c8aab4d128f642bcc6e302dd621d3978ac35fb2c961db6b79bfc,2055695,13,19,CC BY-NC,RSC Adv.; 14(1):589-601
PMC10759043-RA-014-D3RA06323B.PMC10759043.pdf,pmc_oa,PMC10759043,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/52/ef/RA-014-D3RA06323B.PMC10759043.pdf,https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_pdf/52/ef/RA-014-D3RA06323B.PMC10759043.pdf,6ca295f8090058f743114883094e3c536aa9f68130b0cadbd33796a5c9f10ecd,6105553,14,10,CC BY-NC,RSC Adv.; 14(1):626-639
PMC10758781-main.PMC10758781.pdf,pmc_oa,PMC10758781,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/4e/c3/main.PMC10758781.pdf,https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_pdf/4e/c3/main.PMC10758781.pdf,f87c197fce9c8e44ea4b6f4eec0f97c9ac9bb14e21a27d299ec666d99f1bf11b,5924698,14,6,CC BY-NC-ND,Heliyon. 2023 Dec 8; 10(1):e23119
PMC10760357-KHVI_19_2273697.PMC10760357.pdf,pmc_oa,PMC10760357,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/a4/10/KHVI_19_2273697.PMC10760357.pdf,https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_pdf/a4/10/KHVI_19_2273697.PMC10760357.pdf,6e946e8699b134b5dc002b9367433b7bc36e68f578c7dc9c9471d26a155f604d,1112819,9,15,CC BY-NC,Hum Vaccin Immunother.; 19(3):2273697
PMC10759175-RA-014-D3RA07345A.PMC10759175.pdf,pmc_oa,PMC10759175,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/0d/34/RA-014-D3RA07345A.PMC10759175.pdf,https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_pdf/0d/34/RA-014-D3RA07345A.PMC10759175.pdf,4d13629eb7531310d94ebb7b66b25f3ba32cb1d01709cdf59f7c892ce6272574,2252264,15,15,CC BY-NC,RSC Adv.; 14(1):463-477
PMC10725158-pjm-72-4-pjm-2023-044.PMC10725158.pdf,pmc_oa,PMC10725158,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/8a/b5/pjm-72-4-pjm-2023-044.PMC10725158.pdf,https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_pdf/8a/b5/pjm-72-4-pjm-2023-044.PMC10725158.pdf,3003945e1feecc20587aab8f812b9b116df8a2ceba293d43b4c70aa2d91bb9f7,276778,9,7,CC BY-NC-ND,Pol J Microbiol.; 72(4):467-475
PMC10759114-bmjopen-2023-075740.PMC10759114.pdf,pmc_oa,PMC10759114,https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/a2/d4/bmjopen-2023-075740.PMC10759114.pdf,https://ftp.ncbi.nlm.nih.gov/pub/pmc/deprecated/oa_pdf/a2/d4/bmjopen-2023-075740.PMC10759114.pdf,896f6a59740b1ef24319f38a5b000c315457f23c105b27a993984b1af255844b,464936,10,1,CC BY-NC,BMJ Open. 2023 Dec 30; 13(12):e075740
